Date,Signal,Type,Description,Price,Exposure_Change,Market_Exposure,Allocation
2025-02-24 00:00:00-05:00,S10,SELL,Bad Break (-1.21%),19286.93,-1,0,0%
2025-02-24 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),19286.93,-1,0,0%
2025-02-25 00:00:00-05:00,S4,SELL,Full Distribution (6 days),19026.39,-1,0,0%
2025-02-26 00:00:00-05:00,S4,SELL,Full Distribution (6 days),19075.26,-1,0,0%
2025-02-27 00:00:00-05:00,S10,SELL,Bad Break (-2.78%),18544.42,-1,0,0%
2025-02-27 00:00:00-05:00,S12,SELL,Lower Low (13-week),18544.42,-1,0,0%
2025-02-27 00:00:00-05:00,S4,SELL,Full Distribution (7 days),18544.42,-1,0,0%
2025-02-28 00:00:00-05:00,S12,SELL,Lower Low (13-week),18847.28,-1,0,0%
2025-02-28 00:00:00-05:00,S4,SELL,Full Distribution (7 days),18847.28,-1,0,0%
2025-03-03 00:00:00-05:00,S10,SELL,Bad Break (-2.64%),18350.19,-1,0,0%
2025-03-03 00:00:00-05:00,S12,SELL,Lower Low (13-week),18350.19,-1,0,0%
2025-03-03 00:00:00-05:00,S4,SELL,Full Distribution (6 days),18350.19,-1,0,0%
2025-03-04 00:00:00-05:00,S12,SELL,Lower Low (13-week),18285.16,-1,0,0%
2025-03-04 00:00:00-05:00,S4,SELL,Full Distribution (6 days),18285.16,-1,0,0%
2025-03-05 00:00:00-05:00,S4,SELL,Full Distribution (6 days),18552.73,-1,0,0%
2025-03-06 00:00:00-05:00,S10,SELL,Bad Break (-2.61%),18069.26,-1,0,0%
2025-03-06 00:00:00-05:00,S4,SELL,Full Distribution (7 days),18069.26,-1,0,0%
2025-03-06 00:00:00-05:00,S13,SELL,Distribution Cluster (4 in 8 days),18069.26,-1,0,0%
2025-03-07 00:00:00-05:00,S12,SELL,Lower Low (13-week),18196.22,-1,0,0%
2025-03-07 00:00:00-05:00,S4,SELL,Full Distribution (7 days),18196.22,-1,0,0%
2025-03-07 00:00:00-05:00,S13,SELL,Distribution Cluster (4 in 8 days),18196.22,-1,0,0%
2025-03-10 00:00:00-04:00,S10,SELL,Bad Break (-4.00%),17468.32,-1,0,0%
2025-03-10 00:00:00-04:00,S12,SELL,Lower Low (13-week),17468.32,-1,0,0%
2025-03-10 00:00:00-04:00,S4,SELL,Full Distribution (7 days),17468.32,-1,0,0%
2025-03-10 00:00:00-04:00,S13,SELL,Distribution Cluster (4 in 8 days),17468.32,-1,0,0%
2025-03-11 00:00:00-04:00,S12,SELL,Lower Low (13-week),17436.1,-1,0,0%
2025-03-11 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17436.1,-1,0,0%
2025-03-11 00:00:00-04:00,S13,SELL,Distribution Cluster (4 in 8 days),17436.1,-1,0,0%
2025-03-12 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17648.45,-1,0,0%
2025-03-12 00:00:00-04:00,S13,SELL,Distribution Cluster (4 in 8 days),17648.45,-1,0,0%
2025-03-13 00:00:00-04:00,S10,SELL,Bad Break (-1.96%),17303.01,-1,0,0%
2025-03-13 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17303.01,-1,0,0%
2025-03-13 00:00:00-04:00,S13,SELL,Distribution Cluster (4 in 8 days),17303.01,-1,0,0%
2025-03-14 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17754.09,-1,0,0%
2025-03-14 00:00:00-04:00,S13,SELL,Distribution Cluster (4 in 8 days),17754.09,-1,0,0%
2025-03-17 00:00:00-04:00,S4,SELL,Full Distribution (7 days),17808.66,-1,0,0%
2025-03-18 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17504.12,-1,0,0%
2025-03-19 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17750.79,-1,0,0%
2025-03-20 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17691.63,-1,0,0%
2025-03-21 00:00:00-04:00,S4,SELL,Full Distribution (8 days),17784.05,-1,0,0%
2025-03-24 00:00:00-04:00,S4,SELL,Full Distribution (6 days),18188.59,-1,0,0%
2025-03-25 00:00:00-04:00,S4,SELL,Full Distribution (6 days),18271.86,-1,0,0%
2025-03-26 00:00:00-04:00,S5,SELL,Break Below 21-day EMA,17899.02,-1,0,0%
2025-03-26 00:00:00-04:00,S10,SELL,Bad Break (-2.04%),17899.02,-1,0,0%
2025-03-26 00:00:00-04:00,S4,SELL,Full Distribution (7 days),17899.02,-1,0,0%
2025-03-27 00:00:00-04:00,S10,SELL,Bad Break (-0.53%),17804.03,-1,0,0%
2025-03-27 00:00:00-04:00,S4,SELL,Full Distribution (7 days),17804.03,-1,0,0%
2025-03-28 00:00:00-04:00,S10,SELL,Bad Break (-2.70%),17322.99,-1,0,0%
2025-03-28 00:00:00-04:00,S4,SELL,Full Distribution (7 days),17322.99,-1,0,0%
2025-03-31 00:00:00-04:00,S12,SELL,Lower Low (13-week),17299.29,-1,0,0%
2025-03-31 00:00:00-04:00,S4,SELL,Full Distribution (6 days),17299.29,-1,0,0%
2025-04-01 00:00:00-04:00,S4,SELL,Full Distribution (6 days),17449.89,-1,0,0%
2025-04-02 00:00:00-04:00,S4,SELL,Full Distribution (6 days),17601.05,-1,0,0%
2025-04-03 00:00:00-04:00,S10,SELL,Bad Break (-5.97%),16550.61,-1,0,0%
2025-04-03 00:00:00-04:00,S12,SELL,Lower Low (13-week),16550.61,-1,0,0%
2025-04-03 00:00:00-04:00,S4,SELL,Full Distribution (6 days),16550.61,-1,0,0%
2025-04-04 00:00:00-04:00,S10,SELL,Bad Break (-5.82%),15587.79,-1,0,0%
2025-04-04 00:00:00-04:00,S12,SELL,Lower Low (13-week),15587.79,-1,0,0%
2025-04-04 00:00:00-04:00,S4,SELL,Full Distribution (7 days),15587.79,-1,0,0%
2025-04-07 00:00:00-04:00,S12,SELL,Lower Low (13-week),15603.26,-1,0,0%
2025-04-07 00:00:00-04:00,S4,SELL,Full Distribution (6 days),15603.26,-1,0,0%
2025-04-08 00:00:00-04:00,S10,SELL,Bad Break (-2.15%),15267.91,-1,0,0%
2025-04-08 00:00:00-04:00,S4,SELL,Full Distribution (6 days),15267.91,-1,0,0%
2025-04-09 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),17124.97,-1,0,0%
2025-04-10 00:00:00-04:00,S10,SELL,Bad Break (-4.31%),16387.31,-1,0,0%
2025-04-16 00:00:00-04:00,S10,SELL,Bad Break (-3.07%),16307.16,-1,0,0%
2025-04-21 00:00:00-04:00,S10,SELL,Bad Break (-2.55%),15870.9,-1,0,0%
2025-04-23 00:00:00-04:00,S10,SELL,Bad Break (2.50%),16708.05,-1,0,0%
2025-05-12 00:00:00-04:00,B1,BUY,"Follow-Through Day (+4.35%, Vol: 1.2x)",18708.34,1,1,30%
2025-05-12 00:00:00-04:00,B7,BUY,Accumulation Day (+4.35%),18708.34,1,2,55%
2025-05-27 00:00:00-04:00,B2,BUY,"Additional Follow-Through Day (+2.47%, Vol: 10.8x)",19199.16,0,2,55%
2025-05-27 00:00:00-04:00,B7,BUY,Accumulation Day (+2.47%),19199.16,1,3,75%
2025-05-29 00:00:00-04:00,B8,BUY,Higher High (13-week),19175.87,1,4,90%
2025-06-03 00:00:00-04:00,B8,BUY,Higher High (13-week),19398.96,1,5,100%
2025-06-04 00:00:00-04:00,B8,BUY,Higher High (13-week),19460.49,1,6,100%
2025-06-04 00:00:00-04:00,B9,BUY,Downside Reversal Buyback,19460.49,1,6,100%
2025-06-05 00:00:00-04:00,B8,BUY,Higher High (13-week),19298.45,1,6,100%
2025-06-05 00:00:00-04:00,S11,SELL,Downside Reversal Day (spread: 2.00%),19298.45,-1,5,100%
2025-06-06 00:00:00-04:00,B9,BUY,Downside Reversal Buyback,19529.95,1,6,100%
2025-06-09 00:00:00-04:00,B8,BUY,Higher High (13-week),19591.24,1,6,100%
2025-06-10 00:00:00-04:00,B8,BUY,Higher High (13-week),19714.99,1,6,100%
2025-06-10 00:00:00-04:00,B9,BUY,Downside Reversal Buyback,19714.99,1,6,100%
2025-06-11 00:00:00-04:00,B8,BUY,Higher High (13-week),19615.88,1,6,100%
2025-06-16 00:00:00-04:00,B7,BUY,Accumulation Day (+1.52%),19701.21,1,6,100%
2025-06-24 00:00:00-04:00,B8,BUY,Higher High (13-week),19912.53,1,6,100%
2025-06-25 00:00:00-04:00,B8,BUY,Higher High (13-week),19973.55,1,6,100%
2025-06-25 00:00:00-04:00,B9,BUY,Downside Reversal Buyback,19973.55,1,6,100%
2025-06-26 00:00:00-04:00,B8,BUY,Higher High (13-week),20167.91,1,6,100%
2025-06-26 00:00:00-04:00,B9,BUY,Downside Reversal Buyback,20167.91,1,6,100%
2025-06-27 00:00:00-04:00,B8,BUY,Higher High (13-week),20273.46,1,6,100%
2025-06-27 00:00:00-04:00,B9,BUY,Downside Reversal Buyback,20273.46,1,6,100%
2025-06-30 00:00:00-04:00,B8,BUY,Higher High (13-week),20369.73,1,6,100%
2025-07-03 00:00:00-04:00,B8,BUY,Higher High (13-week),20601.1,1,6,100%
2025-07-09 00:00:00-04:00,B8,BUY,Higher High (13-week),20611.34,1,6,100%
2025-07-10 00:00:00-04:00,B8,BUY,Higher High (13-week),20630.66,1,6,100%
2025-07-14 00:00:00-04:00,B8,BUY,Higher High (13-week),20640.33,1,6,100%
2025-07-15 00:00:00-04:00,B8,BUY,Higher High (13-week),20677.8,1,6,100%
2025-07-15 00:00:00-04:00,B9,BUY,Downside Reversal Buyback,20677.8,1,6,100%
2025-07-16 00:00:00-04:00,B9,BUY,Downside Reversal Buyback,20730.49,1,6,100%
2025-07-17 00:00:00-04:00,B8,BUY,Higher High (13-week),20885.65,1,6,100%
2025-07-17 00:00:00-04:00,B9,BUY,Downside Reversal Buyback,20885.65,1,6,100%
2025-07-18 00:00:00-04:00,B8,BUY,Higher High (13-week),20895.65,1,6,100%
2025-07-21 00:00:00-04:00,B8,BUY,Higher High (13-week),20974.18,1,6,100%
2025-07-24 00:00:00-04:00,B8,BUY,Higher High (13-week),21057.96,1,6,100%
2025-07-25 00:00:00-04:00,B8,BUY,Higher High (13-week),21108.32,1,6,100%
2025-07-28 00:00:00-04:00,B8,BUY,Higher High (13-week),21178.58,1,6,100%
2025-07-29 00:00:00-04:00,B8,BUY,Higher High (13-week),21098.29,1,6,100%
2025-07-31 00:00:00-04:00,B8,BUY,Higher High (13-week),21122.45,1,6,100%
2025-07-31 00:00:00-04:00,S11,SELL,Downside Reversal Day (spread: 1.80%),21122.45,-1,5,100%
2025-08-01 00:00:00-04:00,S5,SELL,Break Below 21-day EMA,20650.13,-1,4,90%
2025-08-06 00:00:00-04:00,B7,BUY,Accumulation Day (+1.21%),21169.42,1,5,100%
2025-08-08 00:00:00-04:00,B8,BUY,Higher High (13-week),21450.02,1,6,100%
2025-08-11 00:00:00-04:00,B8,BUY,Higher High (13-week),21385.4,1,6,100%
2025-08-12 00:00:00-04:00,B8,BUY,Higher High (13-week),21681.9,1,6,100%
2025-08-12 00:00:00-04:00,B9,BUY,Downside Reversal Buyback,21681.9,1,6,100%
2025-08-13 00:00:00-04:00,B8,BUY,Higher High (13-week),21713.14,1,6,100%
2025-08-13 00:00:00-04:00,B9,BUY,Downside Reversal Buyback,21713.14,1,6,100%
2025-08-14 00:00:00-04:00,B9,BUY,Downside Reversal Buyback,21710.67,1,6,100%
2025-08-19 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),21314.95,-1,5,100%
2025-08-20 00:00:00-04:00,S5,SELL,Break Below 21-day EMA,21172.86,-1,4,90%
2025-08-20 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),21172.86,-1,3,75%
2025-08-21 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),21100.31,-1,2,55%
2025-08-22 00:00:00-04:00,B7,BUY,Accumulation Day (+1.88%),21496.54,1,3,75%
2025-08-22 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),21496.54,-1,2,55%
2025-08-25 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),21449.29,-1,1,30%
2025-09-02 00:00:00-04:00,S5,SELL,Break Below 21-day EMA,21279.63,-1,0,0%
2025-09-02 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),21279.63,-1,0,0%
2025-09-03 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),21497.73,-1,0,0%
2025-09-04 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),21707.69,-1,0,0%
2025-09-05 00:00:00-04:00,B8,BUY,Higher High (13-week),21700.39,1,1,30%
2025-09-05 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),21700.39,-1,0,0%
2025-09-08 00:00:00-04:00,B8,BUY,Higher High (13-week),21798.7,1,1,30%
2025-09-08 00:00:00-04:00,S4,SELL,Full Distribution (6 days),21798.7,-1,0,0%
2025-09-09 00:00:00-04:00,S4,SELL,Full Distribution (6 days),21879.49,-1,0,0%
2025-09-10 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),21886.06,-1,0,0%
2025-09-10 00:00:00-04:00,B9,BUY,Downside Reversal Buyback,21886.06,1,1,30%
2025-09-11 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),22043.07,-1,0,0%
2025-09-29 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),22591.15,-1,0,0%
2025-09-30 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),22660.01,-1,0,0%
2025-10-01 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),22755.16,-1,0,0%
2025-10-03 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),22780.51,-1,0,0%
2025-10-03 00:00:00-04:00,S13,SELL,Distribution Cluster (4 in 8 days),22780.51,-1,0,0%
2025-10-06 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),22941.67,-1,0,0%
2025-10-07 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),22788.36,-1,0,0%
2025-10-08 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),23043.38,-1,0,0%
2025-10-09 00:00:00-04:00,S3,SELL,Full Distribution minus one (5 days),23024.63,-1,0,0%
2025-10-10 00:00:00-04:00,S5,SELL,Break Below 21-day EMA,22204.43,-1,0,0%
2025-10-10 00:00:00-04:00,S10,SELL,Bad Break (-3.56%),22204.43,-1,0,0%
2025-10-10 00:00:00-04:00,S4,SELL,Full Distribution (6 days),22204.43,-1,0,0%
2025-10-10 00:00:00-04:00,S11,SELL,Downside Reversal Day (spread: 4.18%),22204.43,-1,0,0%
2025-10-13 00:00:00-04:00,S4,SELL,Full Distribution (6 days),22694.61,-1,0,0%
2025-10-14 00:00:00-04:00,S4,SELL,Full Distribution (7 days),22521.7,-1,0,0%
2025-10-15 00:00:00-04:00,S4,SELL,Full Distribution (7 days),22670.08,-1,0,0%
2025-10-16 00:00:00-04:00,S4,SELL,Full Distribution (7 days),22562.54,-1,0,0%
2025-10-17 00:00:00-04:00,S4,SELL,Full Distribution (7 days),22679.97,-1,0,0%
2025-10-20 00:00:00-04:00,S4,SELL,Full Distribution (7 days),22990.54,-1,0,0%
2025-10-21 00:00:00-04:00,S4,SELL,Full Distribution (7 days),22953.67,-1,0,0%
2025-10-22 00:00:00-04:00,S4,SELL,Full Distribution (8 days),22740.4,-1,0,0%
2025-10-23 00:00:00-04:00,S4,SELL,Full Distribution (7 days),22941.8,-1,0,0%
2025-10-24 00:00:00-04:00,S4,SELL,Full Distribution (7 days),23204.87,-1,0,0%
2025-11-06 00:00:00-05:00,S5,SELL,Break Below 21-day EMA,23053.99,-1,0,0%
2025-11-13 00:00:00-05:00,S5,SELL,Break Below 21-day EMA,22870.36,-1,0,0%
2025-11-13 00:00:00-05:00,S10,SELL,Bad Break (-2.29%),22870.36,-1,0,0%
2025-11-17 00:00:00-05:00,S9,SELL,Break Below 50-day MA,22708.07,-1,0,0%
2025-11-20 00:00:00-05:00,S10,SELL,Bad Break (-2.15%),22078.05,-1,0,0%
2025-12-01 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23275.92,-1,0,0%
2025-12-02 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23413.67,-1,0,0%
2025-12-03 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23454.09,-1,0,0%
2025-12-04 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23505.14,-1,0,0%
2025-12-05 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23578.13,-1,0,0%
2025-12-08 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23545.9,-1,0,0%
2025-12-09 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23576.49,-1,0,0%
2025-12-10 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23654.15,-1,0,0%
2025-12-11 00:00:00-05:00,S4,SELL,Full Distribution (6 days),23593.86,-1,0,0%
2025-12-12 00:00:00-05:00,S5,SELL,Break Below 21-day EMA,23195.17,-1,0,0%
2025-12-12 00:00:00-05:00,S4,SELL,Full Distribution (6 days),23195.17,-1,0,0%
2025-12-15 00:00:00-05:00,S9,SELL,Break Below 50-day MA,23057.41,-1,0,0%
2025-12-15 00:00:00-05:00,S10,SELL,Bad Break (-0.59%),23057.41,-1,0,0%
2025-12-15 00:00:00-05:00,S4,SELL,Full Distribution (6 days),23057.41,-1,0,0%
2025-12-16 00:00:00-05:00,S4,SELL,Full Distribution (6 days),23111.46,-1,0,0%
2025-12-17 00:00:00-05:00,S10,SELL,Bad Break (-1.81%),22693.32,-1,0,0%
2025-12-17 00:00:00-05:00,S4,SELL,Full Distribution (7 days),22693.32,-1,0,0%
2025-12-18 00:00:00-05:00,S4,SELL,Full Distribution (6 days),23006.36,-1,0,0%
2025-12-19 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23307.62,-1,0,0%
2025-12-22 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23428.83,-1,0,0%
2025-12-23 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23561.84,-1,0,0%
2025-12-24 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23613.31,-1,0,0%
2025-12-26 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23593.1,-1,0,0%
2025-12-29 00:00:00-05:00,S4,SELL,Full Distribution (6 days),23474.35,-1,0,0%
2025-12-30 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23419.08,-1,0,0%
2025-12-31 00:00:00-05:00,S5,SELL,Break Below 21-day EMA,23241.99,-1,0,0%
2025-12-31 00:00:00-05:00,S9,SELL,Break Below 50-day MA,23241.99,-1,0,0%
2025-12-31 00:00:00-05:00,S10,SELL,Bad Break (-0.76%),23241.99,-1,0,0%
2025-12-31 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23241.99,-1,0,0%
2026-01-02 00:00:00-05:00,S10,SELL,Bad Break (-0.03%),23235.63,-1,0,0%
2026-01-02 00:00:00-05:00,S4,SELL,Full Distribution (8 days),23235.63,-1,0,0%
2026-01-05 00:00:00-05:00,S4,SELL,Full Distribution (8 days),23395.82,-1,0,0%
2026-01-06 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23547.17,-1,0,0%
2026-01-07 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23584.28,-1,0,0%
2026-01-08 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23480.02,-1,0,0%
2026-01-09 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23671.35,-1,0,0%
2026-01-12 00:00:00-05:00,S4,SELL,Full Distribution (6 days),23733.9,-1,0,0%
2026-01-13 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23709.87,-1,0,0%
2026-01-14 00:00:00-05:00,S4,SELL,Full Distribution (8 days),23471.75,-1,0,0%
2026-01-15 00:00:00-05:00,S4,SELL,Full Distribution (8 days),23530.02,-1,0,0%
2026-01-16 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23515.39,-1,0,0%
2026-01-20 00:00:00-05:00,S5,SELL,Break Below 21-day EMA,22954.32,-1,0,0%
2026-01-20 00:00:00-05:00,S9,SELL,Break Below 50-day MA,22954.32,-1,0,0%
2026-01-20 00:00:00-05:00,S10,SELL,Bad Break (-2.39%),22954.32,-1,0,0%
2026-01-20 00:00:00-05:00,S4,SELL,Full Distribution (6 days),22954.32,-1,0,0%
2026-01-21 00:00:00-05:00,S4,SELL,Full Distribution (6 days),23224.82,-1,0,0%
2026-01-22 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23436.02,-1,0,0%
2026-01-23 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23501.24,-1,0,0%
2026-01-26 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23601.36,-1,0,0%
2026-01-27 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23817.1,-1,0,0%
2026-01-28 00:00:00-05:00,S3,SELL,Full Distribution minus one (5 days),23857.45,-1,0,0%
2026-01-29 00:00:00-05:00,S4,SELL,Full Distribution (6 days),23685.12,-1,0,0%
2026-01-30 00:00:00-05:00,S5,SELL,Break Below 21-day EMA,23461.82,-1,0,0%
2026-01-30 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23461.82,-1,0,0%
2026-02-02 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23592.11,-1,0,0%
2026-02-03 00:00:00-05:00,S5,SELL,Break Below 21-day EMA,23255.19,-1,0,0%
2026-02-03 00:00:00-05:00,S9,SELL,Break Below 50-day MA,23255.19,-1,0,0%
2026-02-03 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23255.19,-1,0,0%
2026-02-04 00:00:00-05:00,S4,SELL,Full Distribution (7 days),22904.58,-1,0,0%
2026-02-04 00:00:00-05:00,S13,SELL,Distribution Cluster (4 in 8 days),22904.58,-1,0,0%
2026-02-05 00:00:00-05:00,S10,SELL,Bad Break (-1.59%),22540.59,-1,0,0%
2026-02-05 00:00:00-05:00,S4,SELL,Full Distribution (7 days),22540.59,-1,0,0%
2026-02-05 00:00:00-05:00,S13,SELL,Distribution Cluster (4 in 8 days),22540.59,-1,0,0%
2026-02-06 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23031.21,-1,0,0%
2026-02-06 00:00:00-05:00,S13,SELL,Distribution Cluster (4 in 8 days),23031.21,-1,0,0%
2026-02-09 00:00:00-05:00,S4,SELL,Full Distribution (6 days),23238.67,-1,0,0%
2026-02-10 00:00:00-05:00,S10,SELL,Bad Break (-0.59%),23102.47,-1,0,0%
2026-02-10 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23102.47,-1,0,0%
2026-02-11 00:00:00-05:00,S4,SELL,Full Distribution (7 days),23066.47,-1,0,0%
2026-02-12 00:00:00-05:00,S10,SELL,Bad Break (-2.03%),22597.15,-1,0,0%
2026-02-12 00:00:00-05:00,S4,SELL,Full Distribution (7 days),22597.15,-1,0,0%
2026-02-13 00:00:00-05:00,S4,SELL,Full Distribution (7 days),22546.67,-1,0,0%
