Day,Status,Market Window,> 21e,Cash -/+,Beg NLV,End NLV,Daily $ Change,Daily % Change,% Invested,SPY,Nasdaq,Market_Notes,Market_Action,Keywords,Score
2026-01-02,U,Open,0.0,89225.8,190026.62,188914.1,-90338.31999999999,-47.54%,0.0,683.1699829101562,23235.62890625,Market down. Select growth stocks on fire,ADD: IVV SELL: TQQQ-UPRO-XBI-IWM,,0.0
2025-12-31,U,Open,0.0,0.0,191316.71,190026.62,-1290.0899999999965,-0.67%,71.2744614412444,681.9199829101562,23241.990234375,Market tumbles into new year. Terrible close of the year,No Changes,,0.0
2025-12-30,U,Open,0.0,0.0,192035.46,191316.71,-718.75,-0.37%,71.47710725320334,687.010009765625,23419.080078125,Market flat again. Very low volume on shorten week,No Changes,,0.0
2025-12-29,U,Open,0.0,0.0,191311.81,192035.46,723.6499999999942,0.38%,71.58386268869302,687.8499755859375,23474.349609375,Nasdaq sells off from highs but closed well,No Changes,,0.0
2025-12-26,U,Open,0.0,0.0,191849.57,191311.81,-537.7600000000093,-0.28%,72.35844457276318,690.3099975585938,23593.095703125,Day after Xmas blues. Indices are flat. High Beta stocks sell off ,SELL: ITA ADD: TQQQ,,0.0
2025-12-24,U,Open,0.0,0.0,191126.42,191849.57,723.1499999999942,0.38%,72.90089313205131,690.3800048828125,23613.306640625,Shorten Holiday Trading Day. SPX makes ATH. Mixed actions on growth stocks,No changes,,0.0
2025-12-23,U,Open,0.0,0.0,190876.02,191126.42,250.40000000002328,0.13%,72.83558704233563,687.9600219726562,23561.84375,SPX all time high on NVDA move. Choppy action still ,No Changes,,0.0
2025-12-22,U,Open,0.0,0.0,189218.82,190876.02,1657.1999999999823,0.88%,72.79995150779024,684.719970703125,23428.830078125,Market gaps up above 21e. Mixed actions around ,No Change,,0.0
2025-12-19,U,Open,0.0,0.0,188121.74,189218.82,1097.0800000000163,0.58%,72.5617303817876,680.5900268554688,23307.619140625,Market follows through on Quad Witching Day ,BUY: TQQQ-ITA ADD: IVV-XBI,,0.0
2025-12-18,U,Open,0.0,0.0,187770.24,188121.74,351.5,0.19%,39.52153536321747,676.469970703125,23006.361328125,Market rebounds on great CPI Data. Still choppy,,,0.0
2025-12-17,U,Open,0.0,0.0,189076.0,187770.24,-1305.7600000000093,-0.69%,39.40832157428142,671.4000244140625,22693.3203125,,SELL: SPXL,,0.0
2025-12-16,U,Open,0.0,0.0,189984.0,189076.0,-908.0,-0.48%,53.869872432249466,674.6649780273438,22852.455078125,,,,0.0
2025-12-15,U,Open,0.0,0.0,190795.84,189984.0,-811.8399999999965,-0.43%,53.68873168266801,676.2999877929688,22939.49609375,,,,0.0
2025-12-12,U,Open,0.0,0.0,197578.51,190795.84,-6782.67,-3.43%,97.49,681.7600098,23195.16992,,,,3.0
2025-12-11,U,Open,0.0,0.0,197985.08,197578.51,-406.57,-0.21%,97.58,689.1699829,23593.85938,,,,3.0
2025-12-10,U,Open,0.0,0.0,195224.93,197985.08,2760.15,1.41%,97.58,687.5700073,23654.15625,,TRIM: XBI ADD: IWM,,4.0
2025-12-09,U,Open,0.0,0.0,195597.1,195224.93,-372.17,-0.19%,97.6,683.039978,23576.48633,,,,5.0
2025-12-08,U,Open,0.0,0.0,196677.48,195597.1,-1080.38,-0.55%,94.99,683.6300049,23545.90039,,,,5.0
2025-12-05,U,Open,0.0,0.0,195289.89,196677.48,1387.59,0.71%,95.02,685.6900024,23578.13086,,,,5.0
2025-12-04,U,Open,0.0,0.0,195100.19,195289.89,189.7,0.10%,94.99,684.3900146,23505.13672,,Volatile nasdaq closed higher with mixed performance in growth stocks ,,5.0
2025-12-03,U,Open,0.0,0.0,192942.0,195100.19,2158.19,1.12%,94.97,683.8900146,23454.0918,,,,5.0
2025-12-02,,,,0.0,192751.0,192942.0,191.0,0.10%,0.0,681.5300293,23413.66992,,,,
2025-12-01,,,,0.0,193192.0,192751.0,-441.0,-0.23%,0.0,680.2700195,23275.91992,,,,
2025-11-28,,,,0.0,192163.0,193192.0,1029.0,0.54%,0.0,683.3900146,23365.68945,,,,
2025-11-26,,,,0.0,190693.0,192163.0,1470.0,0.77%,0.0,679.6799927,23214.68945,,,,
2025-11-25,,,,0.0,189369.0,190693.0,1324.0,0.70%,0.0,675.0200195,23025.58984,,,,
2025-11-24,,,,0.0,187164.0,189369.0,2205.0,1.18%,0.0,668.7299805,22872.00977,,,,
2025-11-21,,,,0.0,186558.0,187164.0,606.0,0.32%,0.0,659.0300293,22273.08008,,,,
2025-11-20,,,,0.0,187653.0,186558.0,-1095.0,-0.58%,0.0,652.5300293,22078.05078,,,,
2025-11-19,,,,0.0,187621.0,187653.0,32.0,0.02%,0.0,662.6300049,22564.23047,,,,
2025-11-18,,,,0.0,187932.0,187621.0,-311.0,-0.17%,0.0,660.0800171,22432.84961,,,,
2025-11-17,,,,0.0,188192.0,187932.0,-260.0,-0.14%,0.0,665.6699829,22708.07031,,,,
2025-11-14,,,,0.0,188398.58,188192.0,-206.58,-0.11%,0.0,671.9299927,22900.58984,,,,
2025-11-13,,,,0.0,190615.52,188398.58,-2216.94,-1.16%,0.0,672.039978,22870.35938,,,,
2025-11-12,,,,0.0,194615.79,190615.52,-4000.27,-2.06%,0.0,683.3800049,23406.46094,,,,
2025-11-11,,,,0.0,195397.16,194615.79,-781.37,-0.40%,0.0,683.0,23468.30078,,,,
2025-11-10,,,,0.0,194765.0,195397.16,632.16,0.32%,0.0,681.4400024,23527.16992,,,,
2025-11-07,,,,0.0,196741.81,194765.0,-1976.81,-1.00%,0.0,670.9699707,23004.53906,,,,
2025-11-06,,,,0.0,202686.11,196741.81,-5944.3,-2.93%,0.0,670.3099976,23053.99023,,,,
2025-11-05,,,,0.0,200225.38,202686.11,2460.73,1.23%,0.0,677.5800171,23499.80078,,,,
2025-11-04,,,,0.0,208249.22,200225.38,-8023.84,-3.85%,0.0,675.2399902,23348.64063,,,,
2025-11-03,,,,0.0,207463.56,208249.22,785.66,0.38%,0.0,683.3400269,23834.7207,,,,
2025-10-31,,,,0.0,208655.23,207463.56,-1191.67,-0.57%,0.0,682.0599976,23724.96094,,,,
2025-10-30,,,,0.0,210458.78,208655.23,-1803.55,-0.86%,0.0,679.8300171,23581.14063,,,,
2025-10-29,,,,0.0,210239.07,210458.78,219.71,0.10%,0.0,687.3900146,23958.4707,,,,
2025-10-28,,,,0.0,208442.37,210239.07,1796.7,0.86%,0.0,687.0599976,23827.49023,,,,
2025-10-27,,,,0.0,203129.7,208442.37,5312.67,2.62%,0.0,685.2399902,23637.46094,,,,
2025-10-24,,,,0.0,199681.8,203129.7,3447.9,1.73%,0.0,677.25,23204.86914,,,,
2025-10-23,,,,0.0,196397.68,199681.8,3284.12,1.67%,0.0,671.7600098,22941.80078,,,,
2025-10-22,,,,0.0,200348.92,196397.68,-3951.24,-1.97%,0.0,667.7999878,22740.40039,,,,
2025-10-21,,,,0.0,201046.44,200348.92,-697.52,-0.35%,0.0,671.289978,22953.66992,,,,
2025-10-20,,,,0.0,195779.99,201046.44,5266.45,2.69%,0.0,671.2999878,22990.53906,,,,
2025-10-17,,,,0.0,193291.47,195779.99,2488.52,1.29%,0.0,664.3900146,22679.9707,,,,
2025-10-16,,,,0.0,196693.22,193291.47,-3401.75,-1.73%,0.0,660.6400146,22562.53906,,,,
2025-10-15,,,,0.0,193768.73,196693.22,2924.49,1.51%,0.0,665.1699829,22670.08008,,,,
2025-10-14,,,,0.0,196501.0,193768.73,-2732.27,-1.39%,0.0,662.2299805,22521.69922,,,,
2025-10-13,,,,0.0,189692.0,196501.0,6809.0,3.59%,0.0,663.039978,22694.60938,,,,
2025-10-10,,,,0.0,202661.0,189692.0,-12969.0,-6.40%,0.0,653.0200195,22204.42969,,,,
2025-10-09,,,,0.0,204857.49,202661.0,-2196.49,-1.07%,0.0,671.1599731,23024.63086,,,,
2025-10-08,,,,0.0,199792.42,204857.49,5065.07,2.54%,0.0,673.1099854,23043.38086,,,,
2025-10-07,,,,0.0,203325.96,199792.42,-3533.54,-1.74%,0.0,669.1199951,22788.35938,,,,
2025-10-06,,,,0.0,199116.84,203325.96,4209.12,2.11%,0.0,671.6099854,22941.66992,,,,
2025-10-03,,,,0.0,200500.9,199116.84,-1384.06,-0.69%,0.0,669.210022,22780.50977,,,,
2025-10-02,,,,0.0,198590.08,200500.9,1910.82,0.96%,0.0,669.2199707,22844.05078,,,,
2025-10-01,,,,0.0,196173.46,198590.08,2416.62,1.23%,0.0,668.4500122,22755.16016,,,,
2025-09-30,,,,0.0,195754.78,196173.46,418.68,0.21%,0.0,666.1799927,22660.00977,,,,
2025-09-29,,,,0.0,193580.41,195754.78,2174.37,1.12%,0.0,663.6799927,22591.15039,,,,
2025-09-26,,,,0.0,191693.6,193580.41,1886.81,0.98%,0.0,661.8200073,22484.07031,,,,
2025-09-25,,,,0.0,194649.06,191693.6,-2955.46,-1.52%,0.0,658.0499878,22384.69922,,,,
2025-09-24,,,,0.0,196006.75,194649.06,-1357.69,-0.69%,0.0,661.0999756,22497.85938,,,,
2025-09-23,,,,0.0,198394.45,196006.75,-2387.7,-1.20%,0.0,663.210022,22573.4707,,,,
2025-09-22,,,,0.0,197011.31,198394.45,1383.14,0.70%,0.0,666.8400269,22788.98047,,,,
2025-09-19,,,,0.0,195300.44,197011.31,1710.87,0.88%,0.0,663.7000122,22631.48047,,,,
2025-09-18,,,,0.0,191734.29,195300.44,3566.15,1.86%,0.0,660.4290161,22470.7207,,,,
2025-09-17,,,,0.0,192167.61,191734.29,-433.32,-0.23%,0.0,657.3575439,22261.33008,,,,
2025-09-16,,,,0.0,192409.45,192167.61,-241.84,-0.13%,0.0,658.1752319,22333.96094,,,,
2025-09-15,,,,0.0,190697.6,192409.45,1711.85,0.90%,0.0,659.0827026,22348.75,,,,
2025-09-12,,,,0.0,189300.65,190697.6,1396.95,0.74%,0.0,655.5924072,22141.09961,,,,
2025-09-11,,,,0.0,187036.36,189300.65,2264.29,1.21%,0.0,655.8118286,22043.07031,,,,
2025-09-10,,,,0.0,186444.85,187036.36,591.51,0.32%,0.0,650.4067993,21886.06055,,,,
2025-09-09,,,,0.0,185829.5,186444.85,615.35,0.33%,0.0,648.5319824,21879.49023,,,,
2025-09-08,,,,0.0,183908.43,185829.5,1921.07,1.04%,0.0,647.0361328,21798.69922,,,,
2025-09-05,,,,0.0,183513.1,183908.43,395.33,0.22%,0.0,645.4505005,21700.39063,,,,
2025-09-04,,,,0.0,182070.87,183513.1,1442.23,0.79%,0.0,647.3253174,21707.68945,,,,
2025-09-03,,,,0.0,179532.54,182070.87,2538.33,1.41%,0.0,641.9602051,21497.73047,,,,
2025-09-02,,,,0.0,181882.1,179532.54,-2349.56,-1.29%,0.0,638.4998169,21279.63086,,,,
2025-08-29,,,,0.0,185699.04,181882.1,-3816.94,-2.06%,0.0,643.2666016,21455.55078,,,,
2025-08-28,,,,0.0,184479.03,185699.04,1220.01,0.66%,0.0,647.1258545,21705.16016,,,,
2025-08-27,,,,0.0,184392.49,184479.03,86.54,0.05%,0.0,644.8422241,21590.14063,,,,
2025-08-26,,,,0.0,181925.02,184392.49,2467.47,1.36%,0.0,643.3762817,21544.26953,,,,
2025-08-25,,,,0.0,184667.35,181925.02,-2742.33,-1.49%,0.0,640.6936646,21449.28906,,,,
2025-08-22,,,,0.0,179573.0,184667.35,5094.35,2.84%,0.0,643.5258789,21496.53906,,,,
2025-08-21,,,,0.0,181998.09,179573.0,-2425.09,-1.33%,0.0,633.7928467,21100.31055,,,,
2025-08-20,,,,0.0,182829.26,181998.09,-831.17,-0.45%,0.0,636.3457642,21172.85938,,,,
2025-08-19,,,,0.0,187731.9,182829.26,-4902.64,-2.61%,0.0,638.0410767,21314.94922,,,,
2025-08-18,,,,0.0,187883.8,187731.9,-151.9,-0.08%,0.0,641.5214233,21629.76953,,,,
2025-08-15,,,,0.0,189589.99,187883.8,-1706.19,-0.90%,0.0,641.6610718,21622.98047,,,,
2025-08-14,,,,0.0,190889.62,189589.99,-1299.63,-0.68%,0.0,643.1668701,21710.66992,,,,
2025-08-13,,,,0.0,189904.36,190889.62,985.26,0.52%,0.0,643.1070557,21713.14063,,,,
2025-08-12,,,,0.0,184931.81,189904.36,4972.55,2.69%,0.0,640.913147,21681.90039,,,,
2025-08-11,,,,0.0,184412.69,184931.81,519.12,0.28%,0.0,634.1618042,21385.40039,,,,
2025-08-08,,,,0.0,181935.9,184412.69,2476.79,1.36%,0.0,635.418335,21450.01953,,,,
2025-08-07,,,,0.0,179642.71,181935.9,2293.19,1.28%,0.0,630.5019531,21242.69922,,,,
2025-08-06,,,,0.0,175660.28,179642.71,3982.43,2.27%,0.0,631.0305176,21169.41992,,,,
2025-08-05,,,,0.0,179991.26,175660.28,-4330.98,-2.41%,0.0,626.2337646,20916.55078,,,,
2025-08-04,,,,0.0,172182.83,179991.26,7808.43,4.53%,0.0,629.4249268,21053.58008,,,,
2025-08-01,,,,0.0,179534.42,172182.83,-7351.59,-4.09%,0.0,620.0010376,20650.13086,,,,
2025-07-31,,,,0.0,183425.69,179534.42,-3891.27,-2.12%,0.0,630.3324585,21122.44922,,,,
2025-07-30,,,,0.0,181461.13,183425.69,1964.56,1.08%,0.0,632.7058716,21129.66992,,,,
2025-07-29,,,,0.0,182429.6,181461.13,-968.47,-0.53%,0.0,633.5036621,21098.28906,,,,
2025-07-28,,,,0.0,180415.38,182429.6,2014.22,1.12%,0.0,635.1790161,21178.58008,,,,
2025-07-25,,,,0.0,179781.05,180415.38,634.33,0.35%,0.0,635.338562,21108.32031,,,,
2025-07-24,,,,0.0,180229.49,179781.05,-448.44,-0.25%,0.0,632.6659546,21057.96094,,,,
2025-07-23,,,,0.0,177606.44,180229.49,2623.05,1.48%,0.0,632.456604,21020.01953,,,,
2025-07-22,,,,0.0,178745.06,177606.44,-1138.62,-0.64%,0.0,627.1213379,20892.68945,,,,
2025-07-21,,,,0.0,178244.04,178745.06,501.02,0.28%,0.0,627.0316162,20974.17969,,,,
2025-07-18,,,,0.0,178723.66,178244.04,-479.62,-0.27%,0.0,625.8449097,20895.65039,,,,
2025-07-17,,,,0.0,175641.81,178723.66,3081.85,1.75%,0.0,626.3035889,20885.65039,,,,
2025-07-16,,,,0.0,174884.7,175641.81,757.11,0.43%,0.0,622.4941406,20730.49023,,,,
2025-07-15,,,,0.0,175235.26,174884.7,-350.56,-0.20%,0.0,620.4199219,20677.80078,,,,
2025-07-14,,,,0.0,173575.5,175235.26,1659.76,0.96%,0.0,623.0825195,20640.33008,,,,
2025-07-11,,,,0.0,174710.25,173575.5,-1134.75,-0.65%,0.0,621.895813,20585.5293,,,,
2025-07-10,,,,0.0,173088.33,174710.25,1621.92,0.94%,0.0,624.0897827,20630.66016,,,,
2025-07-09,,,,0.0,170945.73,173088.33,2142.6,1.25%,0.0,622.3345947,20611.33984,,,,
2025-07-08,,,,0.0,170418.24,170945.73,527.49,0.31%,0.0,618.624939,20418.46094,,,,
2025-07-07,,,,0.0,173509.07,170418.24,-3090.83,-1.78%,0.0,618.9639893,20412.51953,,,,
2025-07-03,,,,0.0,170990.03,173509.07,2519.04,1.47%,0.0,623.611084,20601.09961,,,,
2025-07-02,,,,0.0,168605.49,170990.03,2384.54,1.41%,0.0,618.7346191,20393.13086,,,,
2025-07-01,,,,0.0,169975.0,168605.49,-1369.51,-0.81%,0.0,615.9423828,20202.89063,,,,
2025-06-30,,,,0.0,167685.92,169975.0,2289.08,1.37%,0.0,616.1417847,20369.73047,,,,
2025-06-27,,,,0.0,166437.28,167685.92,1248.64,0.75%,0.0,613.2098999,20273.46094,,,,
2025-06-26,,,,0.0,164448.01,166437.28,1989.27,1.21%,0.0,610.1783447,20167.91016,,,,
2025-06-25,,,,0.0,163519.99,164448.01,928.02,0.57%,0.0,605.4414673,19973.55078,,,,
2025-06-24,,,,0.0,161700.95,163519.99,1819.04,1.12%,0.0,605.102417,19912.5293,,,,
2025-06-23,,,,0.0,157114.23,161700.95,4586.72,2.92%,0.0,598.4907227,19630.9707,,,,
2025-06-20,,,,0.0,158002.81,157114.23,-888.58,-0.56%,0.0,592.6369629,19447.41016,,,,
2025-06-18,,,,0.0,157553.71,158002.81,449.1,0.29%,0.0,594.0321045,19546.26953,,,,
2025-06-17,,,,0.0,161276.66,157553.71,-3722.95,-2.31%,0.0,594.121582,19521.08984,,,,
2025-06-16,,,,0.0,156827.58,161276.66,4449.08,2.84%,0.0,599.2421875,19701.21094,,,,
2025-06-13,,,,0.0,159309.84,156827.58,-2482.26,-1.56%,0.0,593.5946045,19406.83008,,,,
2025-06-12,,,,0.0,159450.0,159309.84,-140.16,-0.09%,0.0,600.3060913,19662.49023,,,,
2025-06-11,,,,0.0,160820.0,159450.0,-1370.0,-0.85%,0.0,597.9297485,19615.88086,,,,
2025-06-10,,,,0.0,160868.0,160820.0,-48.0,-0.03%,0.0,599.6399536,19714.99023,,,,
2025-06-09,,,,0.0,158370.25,160868.0,2497.75,1.58%,0.0,596.2593384,19591.24023,,,,
2025-06-06,,,,0.0,155301.0,158370.25,3069.25,1.98%,0.0,595.7224121,19529.94922,,,,
2025-06-05,,,,0.0,157285.73,155301.0,-1984.73,-1.26%,0.0,589.6671143,19298.44922,,,,
2025-06-04,,,,0.0,157100.0,157285.73,185.73,0.12%,0.0,592.5307007,19460.49023,,,,
2025-06-03,,,,0.0,155260.29,157100.0,1839.71,1.18%,0.0,592.6898193,19398.96094,,,,
2025-06-02,,,,0.0,152108.05,155260.29,3152.24,2.07%,0.0,589.3291016,19242.60938,,,,
2025-05-30,,,,0.0,153081.0,152108.05,-972.95,-0.64%,0.0,586.0280151,19113.76953,,,,
2025-05-29,,,,0.0,152625.0,153081.0,456.0,0.30%,0.0,586.6842651,19175.86914,,,,
2025-05-28,,,,0.0,154319.0,152625.0,-1694.0,-1.10%,0.0,584.3774414,19100.93945,,,,
2025-05-27,,,,0.0,148392.0,154319.0,5927.0,3.99%,0.0,587.7780151,19199.16016,,,,
2025-05-23,,,,0.0,151101.0,148392.0,-2709.0,-1.79%,0.0,575.8066406,18737.21094,,,,
2025-05-22,,,,0.0,151989.76,151101.0,-888.76,-0.58%,0.0,579.7639771,18925.74023,,,,
2025-05-21,,,,0.0,151989.76,151989.76,0.0,0.00%,0.0,579.5352783,18872.64063,,,,
