Old_Trade_ID,New_Trade_ID
2025-1,202311-001
2025-2,202408-001
2025-3,202410-001
2025-4,202411-001
2025-5,202411-002
2025-8,202501-001
2025-9,202501-002
2025-6,202501-003
2025-7,202501-004
2025-10,202501-005
2025-11,202501-006
2025-12,202501-007
2025-13,202501-008
2025-14,202501-009
2025-15,202501-010
2025-20,202501-011
2025-19,202501-012
2025-18,202501-013
2025-17,202501-014
2025-16,202501-015
2025-21,202501-016
2025-22,202501-017
2025-23,202501-018
2025-24,202501-019
2025-25,202501-020
2025-28,202502-001
2025-27,202502-002
2025-26,202502-003
2025-29,202502-004
2025-30,202502-005
2025-31,202502-006
2025-32,202502-007
2025-33,202502-008
2025-34,202502-009
2025-35,202502-010
2025-36,202502-011
2025-37,202502-012
2025-38,202502-013
2025-39,202502-014
2025-40,202502-015
2025-41,202502-016
2025-42,202502-017
2025-43,202502-018
2025-44,202502-019
2025-48,202502-020
2025-47,202502-021
2025-46,202502-022
2025-45,202502-023
2025-49,202503-001
2025-50,202503-002
2025-51,202503-003
2025-52,202503-004
2025-53,202503-005
2025-54,202503-006
2025-55,202503-007
2025-56,202503-008
2025-57,202504-001
2025-58,202504-002
2025-59,202504-003
2025-60,202504-004
2025-61,202504-005
2025-64,202504-006
2025-65,202504-007
2025-62,202504-008
2025-63,202504-009
2025-66,202504-010
2025-67,202504-011
2025-253,202504-012
2025-68,202504-013
2025-69,202504-014
2025-70,202504-015
2025-71,202505-001
2025-72,202505-002
2025-73,202505-003
2025-74,202505-004
2025-75,202505-005
2025-78,202505-006
2025-76,202505-007
2025-77,202505-008
2025-79,202505-009
2025-80,202505-010
2025-81,202505-011
2025-82,202505-012
2025-83,202505-013
2025-84,202505-014
2025-85,202505-015
2025-86,202505-016
2025-87,202505-017
2025-88,202505-018
2025-89,202505-019
2025-90,202505-020
2025-91,202505-021
2025-92,202505-022
2025-94,202506-001
2025-93,202506-002
2025-95,202506-003
2025-96,202506-004
2025-97,202506-005
2025-98,202506-006
2025-99,202506-007
2025-100,202506-008
2025-101,202506-009
2025-102,202506-010
2025-103,202506-011
2025-104,202506-012
2025-105,202506-013
2025-106,202507-001
2025-107,202507-002
2025-108,202507-003
2025-110,202507-004
2025-109,202507-005
2025-123,202507-006
2025-122,202507-007
2025-111,202507-008
2025-112,202507-009
2025-113,202507-010
2025-115,202507-011
2025-116,202507-012
2025-117,202507-013
2025-114,202507-014
2025-118,202507-015
2025-119,202507-016
2025-121,202507-017
2025-185,202507-018
2025-120,202507-019
2025-124,202507-020
2025-125,202507-021
2025-126,202507-022
2025-127,202507-023
2025-128,202508-001
2025-129,202508-002
2025-186,202508-003
2025-130,202508-004
2025-131,202508-005
2025-132,202508-006
2025-133,202508-007
2025-134,202508-008
2025-135,202508-009
2025-137,202508-010
2025-136,202508-011
2025-138,202508-012
2025-139,202508-013
2025-140,202508-014
2025-141,202508-015
2025-142,202508-016
2025-143,202508-017
2025-144,202508-018
2025-148,202508-019
2025-146,202508-020
2025-145,202508-021
2025-147,202508-022
2025-149,202508-023
2025-150,202508-024
2025-151,202508-025
2025-152,202508-026
2025-153,202508-027
2025-157,202509-001
2025-155,202509-002
2025-154,202509-003
2025-156,202509-004
2025-158,202509-005
2025-159,202509-006
2025-160,202509-007
2025-162,202509-008
2025-163,202509-009
2025-168,202509-010
2025-161,202509-011
2025-164,202509-012
2025-165,202509-013
2025-166,202509-014
2025-167,202509-015
2025-169,202509-016
2025-170,202509-017
2025-171,202509-018
2025-172,202509-019
2025-173,202509-020
2025-174,202509-021
2025-175,202509-022
2025-176,202509-023
2025-177,202509-024
2025-178,202509-025
2025-179,202509-026
2025-180,202509-027
2025-181,202509-028
2025-182,202509-029
2025-183,202509-030
2025-184,202509-031
2025-188,202509-032
2025-189,202509-033
2025-190,202509-034
2025-196,202509-035
2025-187,202509-036
2025-191,202509-037
2025-192,202509-038
2025-193,202509-039
2025-194,202509-040
2025-195,202509-041
2025-197,202509-042
2025-198,202509-043
2025-199,202509-044
2025-200,202509-045
2025-201,202510-001
2025-203,202510-002
2025-202,202510-003
2025-204,202510-004
2025-205,202510-005
2025-206,202510-006
2025-207,202510-007
2025-208,202510-008
2025-209,202510-009
2025-214,202510-010
2025-210,202510-011
2025-211,202510-012
2025-212,202510-013
2025-213,202510-014
2025-215,202510-015
2025-216,202510-016
2025-217,202510-017
2025-221,202510-018
2025-222,202510-019
2025-219,202510-020
2025-218,202510-021
2025-220,202510-022
2025-224,202510-023
2025-223,202510-024
2025-225,202510-025
2025-226,202510-026
2025-227,202510-027
2025-228,202510-028
2025-229,202510-029
2025-230,202510-030
2025-231,202510-031
2025-232,202510-032
2025-233,202510-033
2025-234,202511-001
2025-235,202511-002
2025-236,202511-003
2025-243,202511-004
2025-242,202511-005
2025-241,202511-006
2025-239,202511-007
2025-238,202511-008
2025-237,202511-009
2025-240,202511-010
2025-254,202511-011
2025-250,202511-012
2025-248,202511-013
2025-249,202511-014
2025-246,202511-015
2025-245,202511-016
2025-244,202511-017
2025-247,202511-018
2025-251,202511-019
2025-252,202511-020
2025-255,202511-021
2025-261,202511-022
2025-260,202511-023
2025-259,202511-024
2025-258,202511-025
2025-256,202511-026
2025-257,202511-027
2025-262,202511-028
2025-266,202511-029
2025-265,202511-030
2025-264,202511-031
2025-263,202511-032
2025-268,202511-033
2025-267,202511-034
2025-269,202511-035
2025-270,202511-036
2025-274,202511-037
2025-271,202511-038
2025-273,202511-039
2025-272,202511-040
2025-275,202511-041
2025-276,202511-042
2025-279,202512-001
2025-277,202512-002
2025-278,202512-003
2025-280,202512-004
2025-281,202512-005
2025-282,202512-006
2025-283,202512-007
2025-284,202512-008
2025-287,202512-009
2025-286,202512-010
2025-288,202512-011
2025-285,202512-012
2025-005,202512-013
2025-006,202512-014
2025-007,202512-015
2025-008,202512-016
2025-009,202512-017
2025-010,202512-018
2025-011,202512-019
